city_ascii,state_id,City,lat,lng
Adell,WI,"Adell, WI",43.6212,-87.9482
Adelphi,MD,"Adelphi, MD",39.0017,-76.9649
Adelphi,OH,"Adelphi, OH",39.4647,-82.7456
Adena,OH,"Adena, OH",40.2166,-80.8762
Adin,CA,"Adin, CA",41.1948,-120.9501
Adjuntas,PR,"Adjuntas, PR",18.1638,-66.7235
Admire,KS,"Admire, KS",38.641,-96.102
Adona,AR,"Adona, AR",35.0399,-92.8992
Adrian,MI,"Adrian, MI",41.8994,-84.0447
Adrian,MO,"Adrian, MO",38.3944,-94.3435
Adrian,MN,"Adrian, MN",43.6332,-95.9329
Adrian,GA,"Adrian, GA",32.5306,-82.592
Adrian,OR,"Adrian, OR",43.7408,-117.0709
Adrian,WV,"Adrian, WV",38.9069,-80.2729
Adrian,TX,"Adrian, TX",35.2741,-102.6672
Advance,NC,"Advance, NC",35.9468,-80.4045
Advance,MO,"Advance, MO",37.1038,-89.912
Advance,IN,"Advance, IN",39.9956,-86.6199
Advance,MI,"Advance, MI",45.2161,-85.0807
Adwolf,VA,"Adwolf, VA",36.7942,-81.5937
Aetna Estates,CO,"Aetna Estates, CO",39.7381,-104.6732
Affton,MO,"Affton, MO",38.5499,-90.3264
Afton,MN,"Afton, MN",44.9041,-92.8174
Afton,WY,"Afton, WY",42.727,-110.9315
Afton,IA,"Afton, IA",41.0276,-94.1953
Afton,OK,"Afton, OK",36.6965,-94.9575
Afton,VA,"Afton, VA",38.0266,-78.8357
Agar,SD,"Agar, SD",44.8397,-100.0732
Agency,MO,"Agency, MO",39.6699,-94.7587
Agency,IA,"Agency, IA",40.997,-92.3073
Agency Village,SD,"Agency Village, SD",45.5796,-97.0782
Agenda,KS,"Agenda, KS",39.7066,-97.4322
Ages,KY,"Ages, KY",36.8569,-83.2426
Agnew,NE,"Agnew, NE",41.0142,-96.8143
Agoura Hills,CA,"Agoura Hills, CA",34.151,-118.7609
Agra,OK,"Agra, OK",35.895,-96.8703
Agra,KS,"Agra, KS",39.7612,-99.1195
Agricola,MS,"Agricola, MS",30.812,-88.5224
Agua Dulce,CA,"Agua Dulce, CA",34.5044,-118.316
Agua Dulce,TX,"Agua Dulce, TX",31.6549,-106.1369
Agua Fria,NM,"Agua Fria, NM",35.6615,-106.0149
Aguada,PR,"Aguada, PR",18.3803,-67.1884
Aguadilla,PR,"Aguadilla, PR",18.4382,-67.1537
Aguanga,CA,"Aguanga, CA",33.4522,-116.8555
Aguas Buenas,PR,"Aguas Buenas, PR",18.2573,-66.1061
Aguas Claras,PR,"Aguas Claras, PR",18.2447,-65.6662
Aguila,AZ,"Aguila, AZ",33.9376,-113.1665
Aguilar,CO,"Aguilar, CO",37.4036,-104.655
Aguilares,TX,"Aguilares, TX",27.4516,-99.0932
Aguilita,PR,"Aguilita, PR",18.0284,-66.533
Ahmeek,MI,"Ahmeek, MI",47.2985,-88.3971
Ahoskie,NC,"Ahoskie, NC",36.2842,-76.9902
Ahtanum,WA,"Ahtanum, WA",46.5573,-120.6138
Ahuimanu,HI,"Ahuimanu, HI",21.4379,-157.8404
Ahwahnee,CA,"Ahwahnee, CA",37.3654,-119.7166
Ai,OH,"Ai, OH",41.6272,-83.9384
Aibonito,PR,"Aibonito, PR",18.1398,-66.2659
Aiea,HI,"Aiea, HI",21.3865,-157.9232
Aiken,SC,"Aiken, SC",33.5303,-81.7271
Ailey,GA,"Ailey, GA",32.1882,-82.5698
Ainaloa,HI,"Ainaloa, HI",19.5215,-154.9944
Ainsworth,NE,"Ainsworth, NE",42.5485,-99.8576
Ainsworth,IA,"Ainsworth, IA",41.2901,-91.5545
Air Force Academy,CO,"Air Force Academy, CO",38.9942,-104.8639
Airmont,NY,"Airmont, NY",41.0992,-74.0989
Airport,CA,"Airport, CA",37.6337,-120.972
Airport Drive,MO,"Airport Drive, MO",37.1405,-94.5162
Airport Heights,TX,"Airport Heights, TX",26.4087,-98.8367
Airport Road Addition,TX,"Airport Road Addition, TX",27.219,-98.0981
Airway Heights,WA,"Airway Heights, WA",47.6459,-117.5792
Aitkin,MN,"Aitkin, MN",46.5262,-93.7056
Ajo,AZ,"Ajo, AZ",32.3923,-112.8839
Ak Chin,AZ,"Ak Chin, AZ",32.2873,-112.0091
Akaska,SD,"Akaska, SD",45.331,-100.1208
Ak-Chin Village,AZ,"Ak-Chin Village, AZ",33.0197,-112.0808
Akeley,MN,"Akeley, MN",47.0005,-94.728
Akhiok,AK,"Akhiok, AK",56.945,-154.215
Akiachak,AK,"Akiachak, AK",60.921,-161.4021
Akiak,AK,"Akiak, AK",60.9061,-161.2122
Akins,OK,"Akins, OK",35.5043,-94.67
Akron,OH,"Akron, OH",41.0798,-81.5219
Akron,PA,"Akron, PA",40.158,-76.2031
Akron,NY,"Akron, NY",43.018,-78.4978
Akron,CO,"Akron, CO",40.1635,-103.2202
Akron,IA,"Akron, IA",42.8268,-96.5572
Akron,IN,"Akron, IN",41.0388,-86.0249
Akron,AL,"Akron, AL",32.8785,-87.7429
Akron,MI,"Akron, MI",43.5667,-83.5143
Akutan,AK,"Akutan, AK",54.1594,-165.7328
Akwesasne,NY,"Akwesasne, NY",44.9647,-74.6664
Alabaster,AL,"Alabaster, AL",33.2198,-86.8225
Alachua,FL,"Alachua, FL",29.7779,-82.4832
Alafaya,FL,"Alafaya, FL",28.528,-81.1868
Alakanuk,AK,"Alakanuk, AK",62.6902,-164.6305
Alamance,NC,"Alamance, NC",36.0285,-79.489
Alameda,CA,"Alameda, CA",37.7668,-122.267
Alamillo,NM,"Alamillo, NM",34.2519,-106.9158
Alamo,TX,"Alamo, TX",26.181,-98.1177
Alamo,CA,"Alamo, CA",37.8548,-122.0136
Alamo,TN,"Alamo, TN",35.783,-89.1168
Alamo,GA,"Alamo, GA",32.1469,-82.7798
Alamo,NV,"Alamo, NV",37.3771,-115.1678
Alamo,NM,"Alamo, NM",34.4184,-107.5125
Alamo,ND,"Alamo, ND",48.5824,-103.4676
Alamo,IN,"Alamo, IN",39.9834,-87.0552
Alamo Beach,TX,"Alamo Beach, TX",28.5734,-96.5655
Alamo Heights,TX,"Alamo Heights, TX",29.4828,-98.4682
Alamo Lake,AZ,"Alamo Lake, AZ",34.2588,-113.5079
Alamogordo,NM,"Alamogordo, NM",32.8837,-105.9625
Alamosa,CO,"Alamosa, CO",37.4752,-105.877
Alamosa East,CO,"Alamosa East, CO",37.4766,-105.8397
Alanreed,TX,"Alanreed, TX",35.2117,-100.7325
Alanson,MI,"Alanson, MI",45.4425,-84.7871
Alapaha,GA,"Alapaha, GA",31.3832,-83.2237
Alatna,AK,"Alatna, AK",66.5638,-152.8385
Alba,MO,"Alba, MO",37.2372,-94.4176
Alba,TX,"Alba, TX",32.7906,-95.6343
Alba,MI,"Alba, MI",44.9786,-84.9695
Alba,PA,"Alba, PA",41.7059,-76.8277
Albany,NY,"Albany, NY",42.6664,-73.7987
Albany,GA,"Albany, GA",31.5776,-84.1762
Albany,OR,"Albany, OR",44.6272,-123.0965
Albany,CA,"Albany, CA",37.8897,-122.3018
Albany,IN,"Albany, IN",40.3056,-85.2331
Albany,MN,"Albany, MN",45.6284,-94.5675
Albany,KY,"Albany, KY",36.6906,-85.1353
Albany,MO,"Albany, MO",40.2479,-94.3335
Albany,TX,"Albany, TX",32.7272,-99.2957
Albany,LA,"Albany, LA",30.4993,-90.5839
Albany,WI,"Albany, WI",42.7069,-89.4367
Albany,OH,"Albany, OH",39.2245,-82.1975
Albany,IL,"Albany, IL",41.7861,-90.2163
Albany,OK,"Albany, OK",33.8769,-96.16
Albany,WY,"Albany, WY",41.1869,-106.1255
Albee,SD,"Albee, SD",45.0513,-96.5535
Albemarle,NC,"Albemarle, NC",35.3594,-80.1915
Albers,IL,"Albers, IL",38.5452,-89.6142
Albert,KS,"Albert, KS",38.454,-99.0111
Albert City,IA,"Albert City, IA",42.7816,-94.9491
Albert Lea,MN,"Albert Lea, MN",43.6548,-93.3643
Alberta,VA,"Alberta, VA",36.8552,-77.8937
Alberta,MN,"Alberta, MN",45.5749,-96.0504
Alberton,MT,"Alberton, MT",47.0037,-114.4817
Albertson,NY,"Albertson, NY",40.7715,-73.6482
Albertville,AL,"Albertville, AL",34.2633,-86.2108
Albertville,MN,"Albertville, MN",45.2364,-93.6618
Albia,IA,"Albia, IA",41.0268,-92.8038
Albin,WY,"Albin, WY",41.417,-104.1016
Albion,MI,"Albion, MI",42.2478,-84.7572
Albion,NY,"Albion, NY",43.246,-78.1902
Albion,IN,"Albion, IN",41.3966,-85.4187
Albion,IL,"Albion, IL",38.3766,-88.058
Albion,NE,"Albion, NE",41.6873,-97.9989
Albion,PA,"Albion, PA",41.8904,-80.3641
Albion,IA,"Albion, IA",42.1125,-92.9886
Albion,WA,"Albion, WA",46.7916,-117.2511
Albion,ID,"Albion, ID",42.4098,-113.5806
Albion,CA,"Albion, CA",39.2256,-123.7564
Albion,OK,"Albion, OK",34.6622,-95.0993
Albright,WV,"Albright, WV",39.4937,-79.6399
Albrightsville,PA,"Albrightsville, PA",41.0116,-75.6068
Albuquerque,NM,"Albuquerque, NM",35.1054,-106.6465
Alburnett,IA,"Alburnett, IA",42.1488,-91.6205
Alburtis,PA,"Alburtis, PA",40.509,-75.6001
Alcalde,NM,"Alcalde, NM",36.0854,-106.0575
Alcan Border,AK,"Alcan Border, AK",62.6727,-141.1321
Alcester,SD,"Alcester, SD",43.0278,-96.6268
Alcoa,TN,"Alcoa, TN",35.8076,-83.9753
Alcolu,SC,"Alcolu, SC",33.7547,-80.2221
Alcorn State University,MS,"Alcorn State University, MS",31.8804,-91.1407
Alcova,WY,"Alcova, WY",42.5543,-106.7263
Alda,NE,"Alda, NE",40.8666,-98.468
Aldan,PA,"Aldan, PA",39.9224,-75.2881
Alden,IA,"Alden, IA",42.5115,-93.3805
Alden,MN,"Alden, MN",43.6695,-93.5735
Alden,IL,"Alden, IL",42.4588,-88.5184
Alden,KS,"Alden, KS",38.2444,-98.3118
Alden,MI,"Alden, MI",44.8792,-85.2729
Alder,WA,"Alder, WA",46.7872,-122.2667
Alder,MT,"Alder, MT",45.3216,-112.1093
Alderpoint,CA,"Alderpoint, CA",40.1613,-123.6158
Alderson,WV,"Alderson, WV",37.7277,-80.6436
Alderson,OK,"Alderson, OK",34.9006,-95.6896
Alderton,WA,"Alderton, WA",47.1728,-122.2209
Alderwood Manor,WA,"Alderwood Manor, WA",47.8146,-122.2672
Aldie,VA,"Aldie, VA",38.9761,-77.645
Aldine,TX,"Aldine, TX",29.9123,-95.3784
Aldora,GA,"Aldora, GA",33.0508,-84.1758
Aldrich,MO,"Aldrich, MO",37.5489,-93.5512
Aldrich,MN,"Aldrich, MN",46.3747,-94.9395
Aledo,TX,"Aledo, TX",32.6974,-97.6069
Aledo,IL,"Aledo, IL",41.199,-90.7459
Aleknagik,AK,"Aleknagik, AK",59.2946,-158.6896
Aleneva,AK,"Aleneva, AK",58.059,-152.9091
Alex,OK,"Alex, OK",34.9228,-97.7763
Alexander,AR,"Alexander, AR",34.6185,-92.4512
Alexander,ND,"Alexander, ND",47.8393,-103.6426
Alexander,IL,"Alexander, IL",39.7218,-90.0368
Alexander,IA,"Alexander, IA",42.8044,-93.4786
Alexander,KS,"Alexander, KS",38.4695,-99.553
Alexander City,AL,"Alexander City, AL",32.9229,-85.9358
Alexandria,VA,"Alexandria, VA",38.8185,-77.0861
Alexandria,LA,"Alexandria, LA",31.2923,-92.4702
Alexandria,MN,"Alexandria, MN",45.8776,-95.3767
Alexandria,KY,"Alexandria, KY",38.9621,-84.3859
Alexandria,IN,"Alexandria, IN",40.263,-85.6737
Alexandria,AL,"Alexandria, AL",33.7675,-85.8792
Alexandria,TN,"Alexandria, TN",36.0791,-86.0382
Alexandria,SD,"Alexandria, SD",43.6541,-97.7798
Alexandria,OH,"Alexandria, OH",40.09,-82.6118
Alexandria,PA,"Alexandria, PA",40.5583,-78.0997
Alexandria,MO,"Alexandria, MO",40.3598,-91.4595
Alexandria,NE,"Alexandria, NE",40.2475,-97.3878
Alexandria Bay,NY,"Alexandria Bay, NY",44.34,-75.9161
Alexis,IL,"Alexis, IL",41.063,-90.5555
Alexis,NC,"Alexis, NC",35.3968,-81.119
Alfarata,PA,"Alfarata, PA",40.6618,-77.456
Alford,FL,"Alford, FL",30.6967,-85.3953
Alfordsville,IN,"Alfordsville, IN",38.5604,-86.9481
Alfred,TX,"Alfred, TX",27.8742,-97.9799
Alger,OH,"Alger, OH",40.7096,-83.8441
Alger,WA,"Alger, WA",48.6175,-122.3368
Algiers,VT,"Algiers, VT",42.8182,-72.5771
Algodones,NM,"Algodones, NM",35.3804,-106.4731
Algoma,WI,"Algoma, WI",44.6058,-87.4465
Algoma,MS,"Algoma, MS",34.1788,-89.0336
Algona,IA,"Algona, IA",43.0743,-94.2311
Algona,WA,"Algona, WA",47.282,-122.2504
Algonac,MI,"Algonac, MI",42.6207,-82.5339
Algonquin,IL,"Algonquin, IL",42.1629,-88.3159
Algonquin,MD,"Algonquin, MD",38.5843,-76.0965
Algood,TN,"Algood, TN",36.2,-85.4468
Alhambra,CA,"Alhambra, CA",34.084,-118.1355
Alhambra,IL,"Alhambra, IL",38.8878,-89.7362
Alhambra Valley,CA,"Alhambra Valley, CA",37.9668,-122.1361
Ali Chuk,AZ,"Ali Chuk, AZ",31.8169,-112.5584
Ali Chukson,AZ,"Ali Chukson, AZ",31.9115,-111.8017
Ali Molina,AZ,"Ali Molina, AZ",31.9025,-111.7804
Alianza,PR,"Alianza, PR",18.4533,-66.8556
Alice,TX,"Alice, TX",27.7556,-98.0653
Alice,ND,"Alice, ND",46.76,-97.5562
Alice Acres,TX,"Alice Acres, TX",27.7119,-98.108
Aliceville,AL,"Aliceville, AL",33.1237,-88.1593
Alicia,AR,"Alicia, AR",35.8929,-91.0835
Aline,OK,"Aline, OK",36.5097,-98.4485
Aliquippa,PA,"Aliquippa, PA",40.6155,-80.2547
Aliso Viejo,CA,"Aliso Viejo, CA",33.5792,-117.7289
Alix,AR,"Alix, AR",35.4219,-93.7289
Allakaket,AK,"Allakaket, AK",66.5506,-152.627
Allardt,TN,"Allardt, TN",36.3811,-84.8814
Alleene,AR,"Alleene, AR",33.7648,-94.2622
Allegan,MI,"Allegan, MI",42.5299,-85.8462
Alleghany,CA,"Alleghany, CA",39.4666,-120.8411
Alleghenyville,PA,"Alleghenyville, PA",40.2327,-75.9762
Alleman,IA,"Alleman, IA",41.8149,-93.6092
Allen,TX,"Allen, TX",33.1088,-96.6735
Allen,OK,"Allen, OK",34.8776,-96.4129
Allen,SD,"Allen, SD",43.2792,-101.9265
Allen,MD,"Allen, MD",38.2894,-75.6904
Allen,NE,"Allen, NE",42.4144,-96.8431
Allen,MI,"Allen, MI",41.9581,-84.768
Allen,KY,"Allen, KY",37.6119,-82.7291
Allen,KS,"Allen, KS",38.655,-96.1697
Allen Park,MI,"Allen Park, MI",42.2595,-83.2107
Allendale,MI,"Allendale, MI",42.9845,-85.9499
Allendale,NJ,"Allendale, NJ",41.0332,-74.1333
Allendale,SC,"Allendale, SC",33.008,-81.3092
Allendale,CA,"Allendale, CA",38.4427,-121.9815
Allendale,IL,"Allendale, IL",38.5276,-87.7103
Allendale,MO,"Allendale, MO",40.4853,-94.2887
Allenhurst,GA,"Allenhurst, GA",31.7839,-81.6078
Allenhurst,NJ,"Allenhurst, NJ",40.2362,-74.0017
Allenport,PA,"Allenport, PA",40.3686,-77.8707
Allens Grove,WI,"Allens Grove, WI",42.5783,-88.7668
Allenspark,CO,"Allenspark, CO",40.2099,-105.5112
Allensville,PA,"Allensville, PA",40.533,-77.8142
Allensville,KY,"Allensville, KY",36.7163,-87.0683
Allensworth,CA,"Allensworth, CA",35.85,-119.3892
Allenton,WI,"Allenton, WI",43.4218,-88.3448
Allentown,PA,"Allentown, PA",40.5961,-75.4756
Allentown,NJ,"Allentown, NJ",40.1778,-74.5873
Allentown,FL,"Allentown, FL",30.7745,-87.0822
Allentown,GA,"Allentown, GA",32.5855,-83.2273
Allenville,IL,"Allenville, IL",39.5583,-88.5387
Allenville,MO,"Allenville, MO",37.2217,-89.7555
Allenwood,NJ,"Allenwood, NJ",40.1384,-74.1032
Allenwood,PA,"Allenwood, PA",41.1081,-76.8981
Allerton,IA,"Allerton, IA",40.7077,-93.3692
Allerton,IL,"Allerton, IL",39.9161,-87.9353
Allgood,AL,"Allgood, AL",33.9064,-86.5178
Alliance,OH,"Alliance, OH",40.9107,-81.1189
Alliance,NE,"Alliance, NE",42.1025,-102.8766
Alliance,NC,"Alliance, NC",35.1434,-76.8084
Alligator,MS,"Alligator, MS",34.0899,-90.7206
Allison,IA,"Allison, IA",42.752,-92.7957
Allison,PA,"Allison, PA",39.9852,-79.8732
Allison,TX,"Allison, TX",35.612,-100.1115
Allison Gap,VA,"Allison Gap, VA",36.8998,-81.7869
Allison Park,PA,"Allison Park, PA",40.573,-79.9603
Allisonia,VA,"Allisonia, VA",36.9342,-80.7255
Allouez,WI,"Allouez, WI",44.4721,-88.0259
Allport,PA,"Allport, PA",40.966,-78.2066
Allport,AR,"Allport, AR",34.5399,-91.7839
Allyn,WA,"Allyn, WA",47.3863,-122.8386
Alma,MI,"Alma, MI",43.3799,-84.6556
Alma,AR,"Alma, AR",35.4919,-94.2165
Alma,GA,"Alma, GA",31.5432,-82.4745
Alma,NE,"Alma, NE",40.1036,-99.3657
Alma,KS,"Alma, KS",39.0152,-96.2871
Alma,WI,"Alma, WI",44.3374,-91.9221
Alma,MO,"Alma, MO",39.0964,-93.5478
Alma,TX,"Alma, TX",32.2813,-96.5497
Alma,CO,"Alma, CO",39.286,-106.0672
Alma,IL,"Alma, IL",38.7229,-88.9118
Alma,NM,"Alma, NM",33.3817,-108.8995
Alma Center,WI,"Alma Center, WI",44.437,-90.9128
Almanor,CA,"Almanor, CA",40.2146,-121.1763
Almedia,PA,"Almedia, PA",41.0144,-76.385
Almena,WI,"Almena, WI",45.4149,-92.0384
Almena,KS,"Almena, KS",39.8913,-99.7097
Almira,WA,"Almira, WA",47.7105,-118.9369
Almond,WI,"Almond, WI",44.2607,-89.4087
Almont,MI,"Almont, MI",42.9206,-83.0434
Almont,ND,"Almont, ND",46.7283,-101.5026
Almyra,AR,"Almyra, AR",34.4057,-91.4108
Aloha,OR,"Aloha, OR",45.492,-122.8725
Alondra Park,CA,"Alondra Park, CA",33.8885,-118.335
Alorton,IL,"Alorton, IL",38.5849,-90.1138
Alpaugh,CA,"Alpaugh, CA",35.889,-119.4858
Alpena,MI,"Alpena, MI",45.074,-83.4402
Alpena,AR,"Alpena, AR",36.2897,-93.3037
Alpena,SD,"Alpena, SD",44.1829,-98.3683
Alpha,NJ,"Alpha, NJ",40.6598,-75.1571
Alpha,IL,"Alpha, IL",41.1915,-90.3805
Alpha,MI,"Alpha, MI",46.0441,-88.3776
Alpha,MN,"Alpha, MN",43.6377,-94.8712
Alpharetta,GA,"Alpharetta, GA",34.0704,-84.2738
Alpine,CA,"Alpine, CA",32.8439,-116.7585
Alpine,UT,"Alpine, UT",40.4629,-111.7724
Alpine,TX,"Alpine, TX",30.364,-103.665
Alpine,NJ,"Alpine, NJ",40.9616,-73.9198
Alpine,WY,"Alpine, WY",43.1646,-111.02
Alpine,CO,"Alpine, CO",37.6877,-106.586
Alpine,OR,"Alpine, OR",44.3303,-123.3628
Alpine,AZ,"Alpine, AZ",33.8461,-109.1433
Alpine,AR,"Alpine, AR",34.2268,-93.3783
Alpine Northeast,WY,"Alpine Northeast, WY",43.1938,-111.0072
Alpine Northwest,WY,"Alpine Northwest, WY",43.1817,-111.0347
Alpine Village,CA,"Alpine Village, CA",38.7793,-119.8077
Alsace Manor,PA,"Alsace Manor, PA",40.3973,-75.8548
Alsea,OR,"Alsea, OR",44.3815,-123.5958
Alsen,ND,"Alsen, ND",48.6303,-98.7048
Alsey,IL,"Alsey, IL",39.5592,-90.4328
Alsip,IL,"Alsip, IL",41.6701,-87.7368
Alston,GA,"Alston, GA",32.081,-82.4789
Alta,IA,"Alta, IA",42.6717,-95.3045
Alta,CA,"Alta, CA",39.2138,-120.8033
Alta,WY,"Alta, WY",43.7737,-111.0312
Alta,UT,"Alta, UT",40.5818,-111.6229
Alta Sierra,CA,"Alta Sierra, CA",39.1237,-121.0523
Alta Sierra,CA,"Alta Sierra, CA",35.7292,-118.5493
Alta Vista,KS,"Alta Vista, KS",38.8628,-96.4888
Alta Vista,IA,"Alta Vista, IA",43.1967,-92.417
Altadena,CA,"Altadena, CA",34.1927,-118.1346
Altamahaw,NC,"Altamahaw, NC",36.1868,-79.5051
Altamont,OR,"Altamont, OR",42.198,-121.7248
Altamont,IL,"Altamont, IL",39.0566,-88.7477
Altamont,NY,"Altamont, NY",42.7056,-74.034
Altamont,KS,"Altamont, KS",37.1875,-95.2898
Altamont,TN,"Altamont, TN",35.4325,-85.7433
Altamont,PA,"Altamont, PA",40.785,-76.2169
Altamont,UT,"Altamont, UT",40.3589,-110.2881
Altamont,MO,"Altamont, MO",39.8886,-94.0866
Altamont,SD,"Altamont, SD",44.8408,-96.6901
Altamonte Springs,FL,"Altamonte Springs, FL",28.6615,-81.3953
Altavista,VA,"Altavista, VA",37.1235,-79.2856
Altenburg,MO,"Altenburg, MO",37.6304,-89.586
Altha,FL,"Altha, FL",30.5721,-85.1263
Altheimer,AR,"Altheimer, AR",34.3241,-91.8481
